weighting,portfolio,capm_alpha_monthly,ff3_alpha_monthly,absolute_alpha_change,absolute_alpha_reduction_ratio,adjusted_r_squared_change
value_weighted,SMALL LoBM,-0.0052184965,-0.0046527390,-0.0005657575,0.1084138950,0.2737869327
value_weighted,ME1 BM2,0.0005948337,0.0001250593,-0.0004697745,0.7897576186,0.3066635133
value_weighted,ME1 BM3,0.0013743024,-0.0000792109,-0.0012950914,0.9423627942,0.2788487830
value_weighted,ME1 BM4,0.0034708171,0.0012978462,-0.0021729709,0.6260689758,0.3251357052
value_weighted,SMALL HiBM,0.0047304014,0.0017342413,-0.0029961602,0.6333839115,0.3335642950
value_weighted,ME2 BM1,-0.0026581697,-0.0016826854,-0.0009754843,0.3669759420,0.2055141831
value_weighted,ME2 BM2,0.0010258509,0.0003200250,-0.0007058259,0.6880394630,0.1936119435
value_weighted,ME2 BM3,0.0024510639,0.0007792759,-0.0016717880,0.6820662549,0.1813395485
value_weighted,ME2 BM4,0.0029144626,0.0005021927,-0.0024122699,0.8276894367,0.2340429511
value_weighted,ME2 BM5,0.0031990307,-0.0001329301,-0.0030661006,0.9584467513,0.2860246182
value_weighted,ME3 BM1,-0.0021966358,-0.0010424939,-0.0011541419,0.5254133895,0.1455710106
value_weighted,ME3 BM2,0.0012448982,0.0004796687,-0.0007652295,0.6146924457,0.1021543739
value_weighted,ME3 BM3,0.0014388794,-0.0003013543,-0.0011375251,0.7905632229,0.1118117016
value_weighted,ME3 BM4,0.0027183171,0.0001990388,-0.0025192783,0.9267786589,0.1713354389
value_weighted,ME3 BM5,0.0034381823,0.0000098928,-0.0034282895,0.9971226681,0.2353141271
value_weighted,ME4 BM1,-0.0006907514,0.0005656329,-0.0001251184,0.1811338391,0.0812048619
value_weighted,ME4 BM2,0.0001581605,-0.0006281051,0.0004699447,-2.9713154708,0.0259273790
value_weighted,ME4 BM3,0.0014288998,-0.0002826628,-0.0011462370,0.8021814913,0.0690248366
value_weighted,ME4 BM4,0.0027625549,0.0004966750,-0.0022658799,0.8202117204,0.1202028530
value_weighted,ME4 BM5,0.0022105832,-0.0011287583,-0.0010818248,0.4893843529,0.1918880858
value_weighted,BIG LoBM,0.0001977415,0.0016334981,0.0014357565,-7.2607737964,0.0634944362
value_weighted,ME5 BM2,0.0002954599,0.0000239013,-0.0002715586,0.9191046772,0.0185313310
value_weighted,ME5 BM3,0.0009148626,-0.0002021406,-0.0007127220,0.7790481597,0.0663427519
value_weighted,ME5 BM4,0.0002089502,-0.0022887102,0.0020797600,-9.9533766131,0.1913070352
value_weighted,BIG HiBM,0.0019448813,-0.0011940531,-0.0007508282,0.3860534878,0.1831239569
equal_weighted,SMALL LoBM,-0.0046299723,-0.0043478915,-0.0002820808,0.0609249490,0.2508268609
equal_weighted,ME1 BM2,0.0005067389,-0.0002287703,-0.0002779686,0.5485439912,0.2747019421
equal_weighted,ME1 BM3,0.0023656245,0.0009215794,-0.0014440452,0.6104287236,0.2578703577
equal_weighted,ME1 BM4,0.0042404897,0.0022011262,-0.0020393635,0.4809264120,0.2992360055
equal_weighted,SMALL HiBM,0.0068842505,0.0043696669,-0.0025145835,0.3652661311,0.3079197397
equal_weighted,ME2 BM1,-0.0035064261,-0.0026470875,-0.0008593387,0.2450753654,0.1886144859
equal_weighted,ME2 BM2,0.0007239945,-0.0001109695,-0.0006130250,0.8467260611,0.1755657018
equal_weighted,ME2 BM3,0.0026479113,0.0008175253,-0.0018303861,0.6912565516,0.1832703390
equal_weighted,ME2 BM4,0.0028733637,0.0002351084,-0.0026382553,0.9181765991,0.2366138819
equal_weighted,ME2 BM5,0.0029495060,-0.0007147864,-0.0022347197,0.7576589566,0.2740225192
equal_weighted,ME3 BM1,-0.0026173362,-0.0016521793,-0.0009651569,0.3687554342,0.1254328377
equal_weighted,ME3 BM2,0.0012132665,0.0003094998,-0.0009037667,0.7449036712,0.0966192707
equal_weighted,ME3 BM3,0.0013464318,-0.0004949498,-0.0008514819,0.6323988638,0.1173476690
equal_weighted,ME3 BM4,0.0027209161,0.0000633251,-0.0026575909,0.9767265352,0.1795969829
equal_weighted,ME3 BM5,0.0036334224,0.0000123227,-0.0036210997,0.9966085044,0.2322825268
equal_weighted,ME4 BM1,-0.0012101126,-0.0001380447,-0.0010720680,0.8859241216,0.0623012614
equal_weighted,ME4 BM2,0.0000769580,-0.0008970617,0.0008201037,-10.6565089681,0.0292807774
equal_weighted,ME4 BM3,0.0012767384,-0.0005132098,-0.0007635286,0.5980305852,0.0720872172
equal_weighted,ME4 BM4,0.0027294599,0.0003719393,-0.0023575206,0.8637315271,0.1200057409
equal_weighted,ME4 BM5,0.0023044078,-0.0012076122,-0.0010967956,0.4759555087,0.1900134709
equal_weighted,BIG LoBM,-0.0010314868,0.0000847928,-0.0009466940,0.9177955617,0.0268700629
equal_weighted,ME5 BM2,0.0004065544,-0.0002267140,-0.0001798405,0.4423527726,0.0129823709
equal_weighted,ME5 BM3,0.0010330536,-0.0003738936,-0.0006591600,0.6380695214,0.0625944523
equal_weighted,ME5 BM4,0.0008791315,-0.0015915483,0.0007124167,-0.8103642421,0.1575466904
equal_weighted,BIG HiBM,0.0021328834,-0.0008818995,-0.0012509838,0.5865223841,0.1683834598
