weighting,portfolio,model,start_month,end_month,nobs,alpha_monthly,alpha_hac_se,alpha_hac_t,alpha_hac_pvalue,beta_mkt,beta_smb,beta_hml,adjusted_r_squared
value_weighted,SMALL LoBM,capm,196307,202606,756,-0.0052184965,0.0019225704,-2.7143331683,0.0066409340,1.4162807972,,,0.6288053669
value_weighted,SMALL LoBM,ff3,196307,202606,756,-0.0046527390,0.0009571731,-4.8609171702,0.0000011684,1.1052225238,1.3998518095,-0.2616486017,0.9025922996
value_weighted,ME1 BM2,capm,196307,202606,756,0.0005948337,0.0016042147,0.3707943292,0.7107907254,1.2188231410,,,0.6166312735
value_weighted,ME1 BM2,ff3,196307,202606,756,0.0001250593,0.0007849214,0.1593271182,0.8734111564,0.9599226001,1.3306061246,0.0148987671,0.9232947868
value_weighted,ME1 BM3,capm,196307,202606,756,0.0013743024,0.0014274320,0.9627795766,0.3356581521,1.1107118885,,,0.6634367527
value_weighted,ME1 BM3,ff3,196307,202606,756,-0.0000792109,0.0005506548,-0.1438486371,0.8856199954,0.9357301112,1.0991531003,0.2910622401,0.9422855357
value_weighted,ME1 BM4,capm,196307,202606,756,0.0034708171,0.0015088476,2.3003099034,0.0214306690,1.0337567784,,,0.6245458475
value_weighted,ME1 BM4,ff3,196307,202606,756,0.0012978462,0.0005404829,2.4012713314,0.0163382169,0.8872890405,1.0882730644,0.4801772851,0.9496815527
value_weighted,SMALL HiBM,capm,196307,202606,756,0.0047304014,0.0017198999,2.7503934995,0.0059523737,1.0641786707,,,0.5745644900
value_weighted,SMALL HiBM,ff3,196307,202606,756,0.0017342413,0.0006266825,2.7673364994,0.0056516386,0.9451534620,1.1008061277,0.6945311884,0.9081287851
value_weighted,ME2 BM1,capm,196307,202606,756,-0.0026581697,0.0014187976,-1.8735369003,0.0609942822,1.3784300469,,,0.7343321567
value_weighted,ME2 BM1,ff3,196307,202606,756,-0.0016826854,0.0006966507,-2.4153930890,0.0157182361,1.1256341044,1.0469350634,-0.3401984466,0.9398463398
value_weighted,ME2 BM2,capm,196307,202606,756,0.0010258509,0.0011873345,0.8639948488,0.3875907203,1.1828251214,,,0.7501366838
value_weighted,ME2 BM2,ff3,196307,202606,756,0.0003200250,0.0005443835,0.5878668385,0.5566216766,1.0151650416,0.9323298817,0.1089860054,0.9437486273
value_weighted,ME2 BM3,capm,196307,202606,756,0.0024510639,0.0012168271,2.0143075366,0.0439772552,1.0811681393,,,0.7452320399
value_weighted,ME2 BM3,ff3,196307,202606,756,0.0007792759,0.0006415062,1.2147598335,0.2244577045,0.9833219466,0.7657386236,0.3752335423,0.9265715885
value_weighted,ME2 BM4,capm,196307,202606,756,0.0029144626,0.0012253108,2.3785496349,0.0173808968,1.0154307039,,,0.7107065898
value_weighted,ME2 BM4,ff3,196307,202606,756,0.0005021927,0.0004779336,1.0507583216,0.2933696024,0.9491269915,0.7439592943,0.5707339257,0.9447495409
value_weighted,ME2 BM5,capm,196307,202606,756,0.0031990307,0.0015177246,2.1077806883,0.0350499640,1.1400677700,,,0.6679209186
value_weighted,ME2 BM5,ff3,196307,202606,756,-0.0001329301,0.0004996184,-0.2660632864,0.7901904694,1.0755800452,0.8969949085,0.7989306441,0.9539455368
value_weighted,ME3 BM1,capm,196307,202606,756,-0.0021966358,0.0011014847,-1.9942500003,0.0461247404,1.3058022148,,,0.7932700089
value_weighted,ME3 BM1,ff3,196307,202606,756,-0.0010424939,0.0005735880,-1.8174959497,0.0691412079,1.1070727280,0.7548924530,-0.3632348767,0.9388410194
value_weighted,ME3 BM2,capm,196307,202606,756,0.0012448982,0.0009796798,1.2707194209,0.2038284839,1.1158760391,,,0.8159839632
value_weighted,ME3 BM2,ff3,196307,202606,756,0.0004796687,0.0005706321,0.8405918791,0.4005766097,1.0183296268,0.6048146926,0.1511129702,0.9181383371
