weighting,portfolio,model,durbin_watson,ljung_box_lag,ljung_box_stat,ljung_box_pvalue,breusch_pagan_lm,breusch_pagan_pvalue
value_weighted,SMALL LoBM,capm,1.8080679442,6,14.8269918786,0.0216458632,4.5159630733,0.0335799761
value_weighted,SMALL LoBM,ff3,1.9701685072,6,9.9176623163,0.1281625374,10.7285537478,0.0132880002
value_weighted,ME1 BM2,capm,1.9384076641,6,8.8517530561,0.1820886351,3.5963362415,0.0579070576
value_weighted,ME1 BM2,ff3,2.1068476711,6,19.4490890501,0.0034687366,57.7815118182,0.0000000000
value_weighted,ME1 BM3,capm,1.9404892393,6,8.9187561367,0.1781989888,5.9954831786,0.0143425523
value_weighted,ME1 BM3,ff3,1.9866020567,6,8.8655082106,0.1812842729,3.1301061837,0.3719971046
value_weighted,ME1 BM4,capm,1.8930201473,6,10.7969198791,0.0948593330,3.1932327215,0.0739436517
value_weighted,ME1 BM4,ff3,1.9237800191,6,17.3832145534,0.0079734051,13.7136310545,0.0033220355
value_weighted,SMALL HiBM,capm,1.9169840611,6,18.0883519070,0.0060151512,0.2459281533,0.6199568966
value_weighted,SMALL HiBM,ff3,2.4674562701,6,105.8159512153,0.0000000000,11.6845659710,0.0085456474
value_weighted,ME2 BM1,capm,1.9487196314,6,5.4146316900,0.4918340746,0.5362665303,0.4639841293
value_weighted,ME2 BM1,ff3,1.9235898461,6,7.1964180637,0.3030640757,8.4581774580,0.0374334246
value_weighted,ME2 BM2,capm,2.0512710284,6,6.1635474395,0.4051211734,1.6092841593,0.2045924564
value_weighted,ME2 BM2,ff3,1.9572017242,6,5.8400418538,0.4413453382,17.4169206371,0.0005800482
value_weighted,ME2 BM3,capm,2.0227638365,6,23.6830106286,0.0005972101,0.4242293010,0.5148342139
value_weighted,ME2 BM3,ff3,1.9344743671,6,22.2326370333,0.0010987626,47.2502937446,0.0000000003
value_weighted,ME2 BM4,capm,1.9439314554,6,12.0398994058,0.0610845940,1.1766642717,0.2780361312
value_weighted,ME2 BM4,ff3,1.9790541660,6,1.3519984692,0.9687131845,15.0182757644,0.0018010975
value_weighted,ME2 BM5,capm,1.9589306208,6,9.2385859578,0.1605980829,0.0182006443,0.8926832199
value_weighted,ME2 BM5,ff3,1.9681968279,6,2.3943690757,0.8800970857,8.7658795076,0.0325711669
value_weighted,ME3 BM1,capm,1.9943271683,6,6.3251852191,0.3877654094,1.9058340926,0.1674267496
value_weighted,ME3 BM1,ff3,1.9013417396,6,11.8022568997,0.0665284219,1.5528023028,0.6701382816
value_weighted,ME3 BM2,capm,2.0803889596,6,18.7877747490,0.0045374734,0.4939249034,0.4821816994
value_weighted,ME3 BM2,ff3,1.9925739636,6,3.5082607306,0.7428703186,11.0174608333,0.0116318320
value_weighted,ME3 BM3,capm,1.9471741243,6,18.9805375810,0.0041966286,0.6359697801,0.4251739773
value_weighted,ME3 BM3,ff3,2.1126193878,6,19.4457007958,0.0034735299,2.8379707673,0.4172873366
value_weighted,ME3 BM4,capm,1.9771365224,6,18.3051763357,0.0055131281,0.4598347457,0.4977012151
